codice_fiscale,nome,cognome,comune_residenza,classe,anno,nazione
PJWUUW66X67H276X,Cain,Harrison,45528,,4,Italy
IFZVYO72J44J172L,Scarlet,Browning,31426,,4,United States
IWMDGR33B56N501S,Jonah,Church,88821,,1,Belgium
UVFODP71L73O368F,Ignatius,Ross,52220,,2,United States
VOHEKK57F23G028J,Martha,Park,73651,,2,Poland
HQSXYI46Q84V455M,Priscilla,Santana,25568,,3,Italy
QUPWXN36E55R181S,Paki,Harvey,61708,,2,Austria
JQTRSM84I98O455I,Matthew,Cooper,53146,,4,United Kingdom
GOUSPT47Q83Q019J,Alfonso,Hewitt,03173,,2,United Kingdom
PGXMRG56E22C486E,Tyler,Goff,54813,,1,Austria
RLMZVC29G50I336I,Colette,Casey,80467,,5,United Kingdom
KFPUNR75H23Z928M,Lareina,Warner,15554,,4,Poland
IRRMAC42D63O850C,Hu,Knight,58188,,2,United Kingdom
BAMJTW19T03H317E,Igor,Crosby,26975,,4,United States
IHRVDX75U25I725B,Flavia,Bowman,99269,,4,France
EJSZPQ26W65T486L,Blossom,Abbott,86003,,4,Germany
PLLHUL14F51H573K,Neville,Thornton,18848,,2,United States
TLMLCC36E48G072G,Tarik,Blake,57989,,2,United States
MOWRYN44V21C760M,Ria,Webster,26428,,3,Germany
VBEEQW64G15X155T,Abbot,Thomas,26359,,3,Spain
VOSAWU72G19I388I,Chaney,Giles,89421,,3,Poland
YDCQJX66Y10O443U,Sylvester,Hinton,44853,,4,Spain
XHIIHU34V75L156F,Raphael,Zimmerman,55747,,2,Poland
KRIRXH16V51N548S,Keely,Ball,76601,,3,United Kingdom
SNXNUP45M21W813E,Hammett,Gilmore,21010,,4,Belgium
EEMEON22G17D892W,Dillon,Odom,66316,,3,Poland
FLVKXT22W16Y161B,Cairo,Bruce,10682,,1,Austria
OHGRXW85Z43U728O,Alice,Gentry,17536,,2,Italy
JIXQLF54D94L176M,Fredericka,Roberson,37166,,3,United Kingdom
XTBXVC61B66U812M,Wade,Walters,64245,,5,Austria
NRBSUF76E81O121K,Cedric,Livingston,27711,,2,France
BOGBTK38X81H174N,Ivan,Gilliam,78377,,2,Poland
GHJZHW52H15J579F,Chancellor,Cochran,10377,,5,Poland
IWTHOF33Y38B433C,Amanda,Justice,11064,,2,Poland
GMBEYQ18Q33V088R,Kylan,Rivera,88806,,3,Italy
ESBDLS61F53Z008W,Ferris,Summers,13586,,4,France
ZXBQXB86G15Q772T,Harriet,Chase,82228,,5,Belgium
DTSHRM82E28K023G,Felix,Rosario,66421,,5,Belgium
WWRUJG72M60E346I,Ivory,Ramos,54744,,4,Italy
RTUUZU27S47L021P,Adara,Dyer,23875,,3,United Kingdom
TPFMGD43W71S182A,Hyatt,Bray,27043,,4,Spain
LSBQYC26W34U131M,Nomlanga,Lindsay,91428,,5,United Kingdom
XSELKM35G48U728C,Damian,Campbell,65273,,2,Austria
BNQTUS69J02K195R,Wesley,Calhoun,25859,,4,Austria
VYHKQO88R62D365Y,Blythe,Cash,67866,,1,Belgium
OHZUKQ62D46G437D,Dean,Johnson,82859,,4,United States
JZUJID26V60O434N,Noelle,Stanley,56347,,5,Spain
SKTCNH72H70H503C,Colby,Guerrero,36120,,2,Belgium
QMRYFT77J94E134O,Shay,Ware,52522,,2,France
WPXKPS85T58T754E,Amena,Rodriguez,53079,,3,Belgium
JIGOSX46E27Q532S,Hedy,Curry,95795,,1,France
UJFWBP61S06W162T,Morgan,Blanchard,54287,,4,Spain
BWSKMR53A53R441P,Lyle,West,38535,,2,Austria
GCYIJT45P77J611P,Aspen,Howell,36503,,1,Italy
THERRK76T69R702G,Emerson,Bauer,52828,,5,Austria
VWVUGL14H30T327A,Channing,Chapman,83234,,3,Austria
UCNYJI99N38H743B,Angela,Rogers,38354,,1,Germany
SMLLSB31M49G578V,Rigel,Torres,11351,,2,Spain
FNPLYI35U98I432F,Brock,Workman,13578,,1,Italy
FYCRLP03M66S402F,Berk,Joyce,38349,,3,Belgium
QGXPRM72O27K822N,Levi,Dejesus,57436,,3,Belgium
ONVGYU05F15S925K,Kennedy,Colon,83543,,3,Italy
TWLRYE01M67R666X,Rigel,Adkins,17688,,4,Italy
KQZODQ51I98E218E,Jescie,Roach,72574,,4,Belgium
UYERNH48Z78L682X,Robert,Mcgee,12041,,4,Germany
KJXBLA15H68L371E,Helen,Mckee,36558,,1,Austria
MJKOUF43B89N765F,Ina,Dean,34156,,4,France
RJKHML27Y28G281C,Reed,Finley,99851,,4,Austria
EREWIX23I32D020C,Basia,Scott,44901,,5,United States
TVTQMQ56N24Y425H,Garrett,Brock,77885,,2,France
IPHRWX61H72O490O,Akeem,Kramer,15742,,5,Italy
LTVQMU48I81U685K,Cairo,Preston,64446,,5,Poland
DKUYTH73S58Z326I,Perry,Mayo,41268,,3,Italy
EFBWQJ36L56E456X,Dean,Wyatt,81814,,3,United States
KOJNHS34H26N732Q,Lunea,Snow,65656,,4,Poland
JQNTNG49J87Y935C,Griffith,Kane,42348,,1,France
BPYINE83G71L131U,Ciaran,Avila,31132,,2,United States
KQNPNV55I86S320N,Evelyn,Morin,96729,,5,Belgium
HVPKUT22N48U666S,Adena,Petty,31373,,5,Austria
LDYCXL57F66O380D,Imelda,Baxter,24674,,2,Austria
DPNLVV36F88G811Q,Nehru,Ratliff,17007,,2,United Kingdom
FHKBFR25Q11E037Q,Lars,Lawson,86085,,3,Poland
BMMVSU93T23A214B,Evan,Levy,20252,,2,Italy
NHEUCW47L86R043B,Zahir,Dudley,48569,,2,United States
TMEXDI41S42U668H,Daniel,Mejia,56782,,3,Belgium
EUSOMG16Q47F672I,Ginger,Hampton,77324,,2,France
GDSBJP37N95O235F,Mona,Guy,24133,,5,United States
QENTGV31K20N558U,Colin,Gregory,56560,,4,France
GSFSIP57S51G583U,Allen,Peterson,41544,,2,France
NZRUOA70T84H681P,Erasmus,Ryan,87454,,2,Belgium
RKXLHG66M80O016F,Xenos,Reyes,79563,,3,United Kingdom
EEKSST66I52J611W,Jason,Norris,84188,,3,Italy
OBRBHI35L71A762F,Mollie,Mcknight,44591,,5,France
TXVGJB76Y84M234O,Simon,Grimes,84279,,4,Austria
ODHVNO51Y87Q507E,Tiger,Shaw,06731,,5,United Kingdom
TIZLYX18Y20Q995V,Dante,Cline,89643,,2,United Kingdom
YEYCOO93Z44M993R,Wyatt,Hansen,28543,,3,Austria
NSGYDL88K71K429T,Xander,Stephenson,18051,,3,United States
VUHRPL25N14T242D,Dolan,Robinson,78725,,1,France
BBNUGI85P42F726P,Jonah,Baird,88015,,3,Germany
